endereco,tamanho_m2,link,telefone_imobiliaria,telefone_vendedor,fonte,regiao_poligono_id,latitude,longitude,titulo,motivo_exclusao
"Rua Cangambá, 120 - Itaquera, São Paulo - SP",120,https://www.vivareal.com.br/imovel/casa-2-quartos-itaquera-zona-leste-sao-paulo-com-garagem-120m2-venda-RS599900-id-2746782607/,(11) 2155-8800,,www.vivareal.com.br,,-23.53589,-46.473344,"Casas para venda com   e 120 m² em Itaquera na Zona Leste - São Paulo, SP  - Viva Real",
"Rua Acotipa, 209 - Itaquera, São Paulo - SP",87,https://www.vivareal.com.br/imovel/casa-2-quartos-itaquera-zona-leste-sao-paulo-com-garagem-87m2-venda-RS350000-id-2748510414/,(11) 2741-5050,,www.vivareal.com.br,,-23.543414,-46.455423,"Casas para venda com   e 87 m² em Itaquera na Zona Leste - São Paulo, SP  - Viva Real",
"Rua Jerônimo de Barros, 232 - Itaquera, São Paulo - SP",120,https://www.vivareal.com.br/imovel/casa-3-quartos-itaquera-zona-leste-sao-paulo-com-garagem-120m2-venda-RS540000-id-2803432496/,(11) 2155-8800,,www.vivareal.com.br,,-23.559858,-46.47575,"Casas para venda com Área de serviço e 120 m² em Itaquera na Zona Leste - São Paulo, SP  - Viva Real",
"Rua Professor Athanassof, 153 - Cidade Patriarca, São Paulo - SP",100,https://www.vivareal.com.br/imovel/casa-3-quartos-cidade-patriarca-zona-leste-sao-paulo-com-garagem-100m2-venda-RS426000-id-2652589154/,(11) 2741-5050,,www.vivareal.com.br,,-23.536132,-46.505634,"Casas para venda com Churrasqueira e 100 m² em Cidade Patriarca na Zona Leste - São Paulo, SP  - Viva Real",
CEP 08079-354,102,https://www.vivareal.com.br/imovel/casa-3-quartos-cidade-patriarca-zona-leste-sao-paulo-com-garagem-102m2-venda-RS690000-id-2819600217/,(11) 96593-5749,(11) 2682-2320,www.vivareal.com.br,,-23.534854,-46.497786,"Casas para venda com Churrasqueira e 102 m² em Cidade Patriarca na Zona Leste - São Paulo, SP  - Viva Real",
"Avenida Ajarani, 231 - Cidade Patriarca, São Paulo - SP",142,https://www.vivareal.com.br/imovel/casa-3-quartos-cidade-patriarca-zona-leste-sao-paulo-com-garagem-142m2-venda-RS895000-id-2867240583/,(11) 5071-2679,,www.vivareal.com.br,,-23.539431,-46.51037,"Casas para venda com Mobiliado e 142 m² em Cidade Patriarca na Zona Leste - São Paulo, SP  - Viva Real",
"Rua Xapuri, 56 - Cidade Patriarca, São Paulo - SP",90,https://www.vivareal.com.br/imovel/casa-3-quartos-cidade-patriarca-zona-leste-sao-paulo-com-garagem-90m2-venda-RS650000-id-2543425622/,(11) 96737-5059,(11) 2692-9272,www.vivareal.com.br,,-23.538388,-46.497172,"Casas para venda com Garagem e 90 m² em Cidade Patriarca na Zona Leste - São Paulo, SP  - Viva Real",
"Rua Doutor Aureliano Barreiros, 606 - Itaquera, São Paulo - SP",200,https://www.vivareal.com.br/imovel/casa-3-quartos-itaquera-zona-leste-sao-paulo-com-garagem-200m2-venda-RS500000-id-2887847487/,(11) 3571-6696,,www.vivareal.com.br,,-23.537915,-46.451059,"Casas para venda com   e 200 m² em Itaquera na Zona Leste - São Paulo, SP  - Viva Real",
"Rua Piraquara, 115 - Itaquera, São Paulo - SP",250,https://www.vivareal.com.br/imovel/casa-3-quartos-itaquera-zona-leste-sao-paulo-com-garagem-250m2-venda-RS675000-id-2848679032/,(11) 98885-8836,(98) 2421-5021,www.vivareal.com.br,,-23.530046,-46.484592,"Casas para venda com Garagem e 250 m² em Itaquera na Zona Leste - São Paulo, SP  - Viva Real",
"Rua Pedro Franco Quaresma, 296 - Cidade Patriarca, São Paulo - SP",210,https://www.vivareal.com.br/imovel/casa-3-quartos-cidade-patriarca-zona-leste-sao-paulo-com-garagem-210m2-venda-RS830000-id-2878358673/,(11) 91495-8731,,www.vivareal.com.br,,-23.516766,-46.501494,"Casas para venda com Churrasqueira e 210 m² em Cidade Patriarca na Zona Leste - São Paulo, SP  - Viva Real",
